001;5;18 44;19 19 16 15 17 17 16;6 24 18 20 29 31;0 0 0 0 0 4;Harden;male;normal
002;16;31 585;50 50 42 42 48 48 40;31 10 11 11 12 1;0 0 0 0 0 5;Tackle Tail_Whip;male;normal
003;36;0 3801;104 104 100 110 115 115 105;2 1 27 6 7 20;0 0 0 0 0 0;Peck Growl Leer Fury_Attack;male;normal
004;5;18 44;19 19 16 15 17 16 18;6 24 18 20 29 31;0 0 0 0 0 4;Harden;male;normal
005;16;31 585;49 49 43 41 48 43 46;31 10 11 11 12 1;0 0 0 0 0 5;Tackle Tail_Whip;male;normal
006;36;0 3801;102 102 101 106 121 104 120;2 1 27 6 7 20;0 0 0 0 0 0;Peck Growl Leer Fury_Attack;male;normal
007;5;18 44;19 19 16 17 16 17 15;6 24 18 20 29 31;0 0 0 0 0 4;Harden;male;normal
008;16;31 585;49 49 42 48 43 48 39;31 10 11 11 12 1;0 0 0 0 0 5;Tackle Tail_Whip;male;normal
009;36;0 3801;103 103 101 122 104 119 104;2 1 27 6 7 20;0 0 0 0 0 0;Peck Growl Leer Fury_Attack;male;normal
044;30;0 2534;78 78 79 79 95 82 65;8 17 7 30 9 21;0 0 0 0 0 0;Sleep_Powder Stun_Spore Poisonpowder Sweet_Scent;male;normal
044;23;354 1383;63 63 59 63 71 62 52;11 8 15 11 1 22;0 0 0 25 7 13;Sweet_Scent Poisonpowder Absorb Sleep_Powder;male;normal
048;26;0 2107;73 73 65 64 52 61 55;25 24 30 2 6 6;0 0 0 1 0 1;Foresight Disable Tackle Poisonpowder;male;normal
043;26;65 1833;62 62 61 64 71 71 47;11 16 17 5 24 5;0 0 0 1 0 1;Sweet_Scent Poisonpowder Stun_Spore Sleep_Powder;female;normal
048;24;0 1801;63 63 62 57 51 62 51;3 31 19 13 30 1;0 0 0 1 1 4;Tackle Disable Confusion Poisonpowder;male;normal
003;34;3186 3350;105 105 100 102 126 119 112;15 15 15 15 15 15;22 5 22 169 92 169;Tackle Growl Leech_Seed Vine_Whip;female;normal
